name;addr:city;addr:street;opening_hours
Стопанска Банка;;;
Шпаркасе;;;
Komercijalna Banka;;;
Шпаркасе;Cкoпje;;
Шпаркасе;Cкoпje;;
Шпаркасе;;;
Шпаркасе;Cкoпje;Булевар Цветан Димов;
Стопанска Банка;;;
Стопанска Банка;;;
Halkbank;;;
ProCredit;;;
Уни;;;
NLB Tutunska banka;Cкoпje;Кеј 13 Ноември;
;;;24.07.2020
Комерцијална Банка;;;24.07.2020
Стопанска Банка;;;24.07.2020
Стопанска Банка;;;24.07.2020
Комерцијална Банка;;;24.07.2020
Комерцијална Банка;;;
НЛБ Тутунска Банка;;;
Стопанска Банка;;;
НЛБ Тутунска Банка;;;
Шпаркасе;Cкoпje;Никола Вапцаров;
Шпаркасе;Cкoпje;;
Шпаркасе;;;
Шпаркасе;Cкoпje;;
;;;24.07.2020
Шпаркасе;;Македонија;
Шпаркасе;;Козле;
;;;24.07.2020
;;;24.07.2020
;;;24.07.2020
;;;24.07.2020
Стопанска Банка;;;
;;Булевар Кочо Рацин;
;;Ангел Динев;
Фероинвест;Cкoпje;Булевар Климент Охридски;
