Column1;Column2;Column3;Column4
name;addr:city;addr:street;opening_hours
Броз Кафе;;;
Benneton;;;
AMG;;;
Стрип;;Димитрија чуповски;
Cafeteria;;;
Caffe Skopje;Скопје;Македонија;08:00-12:00
Ливинг Рум;Скопје;Македонија;"Mo-Th 08:00-24:00; Fr Sa 08:00-01:00; Su 10:00-24:00"
Плеј Кафе;Скопје;Македонија;
9;;;
Мартини;;;
Бугати;;;
Кафе Змија;;;
Кафе Филипос;;Благој Давков;
Fluid;;;
Ли;;;
Red Caffe;;;
Кафе Писта;;;
Кафе Мамбо;;;
Up Cafe;;;
Badu;;;
Quatro Caffe;;;
Bass Cafe;;;
Боката;;Никола Вапцаров;
DRAMA coffee house Makedonija 41;Скопје;Македонија;08:00-01:00
Палма;;;
Cafe Old Bazaar;Cкoпje;;08:00-23:00
Old Town;;;
Nargile Cafe;;;
Telekom Trend Lounge Bar;Cкoпje;Кеј 13 Ноември;Mo-Su 00:00-00:45 08:00-24:00
Bistro Skopje;Скопје;Македонија;
Gnezdo;Скопје;Македонија;
Caffe Novo;Скопје;Македонија;
Caffe Bar Dolce Vita;Скопје;Македонија;
Corsso;Скопје;Даме Груев;
Trend Food Bar;;;"08:00-00:00; Fr-Sa 08:00-01:00"
The Gallery;Cкoпje;;
MonAmi;Cкoпje;;
Жапон Кафе Бар;Cкoпje;;07:30 - 23:30
Cafe Bela;Cкoпje;;09:00 - 00:00
Концепт37;;;
Авантура;;;
Ch2pter;Cкoпje;Љубљанска;"09:00-23:45; Fr-Sa 09:00-23:45"
Tonnis Bakeri;;;
Coffeeshop Company lounge;;;
Belier;;Владимир Полежановски;
Juicy and Co;;;
Clique Bar;;;24/7
Prikazna;;;
;;;Mo-Su 06:00-22:00
Гет Кафе;;Христо Татарчев;Mo-Su 10:00-00:00
Крин;;;
Te Flladi;;Џон Кенеди;Mo-Su 06:00-02:00
Шиша;;;
Изи;;;
Laika;;;
Еу ејџ;;;
63;;;
Giovani;;;
Кахава;;;
Винил;Cкoпje;Булевар Партизански Одреди;
Централ Парк;;;
DejaVu;;;
Istanbul;;;
AvAv Dog Park;;;
Kandi;;;Mo-Su 07:15-00:00
k8;;;
Paladin M;;;
Woodstock;;;
Led Zeppelin;;;
Sugarland;;;
Krem;;;
fourplay;Cкoпje;Орце Николов;
Joy Café & Bakery;Cкoпje;Никола Тесла;
Coffee O'Clock;;;
Веган365Кујна;;Булевар Климент Охридски;Mo-Fr 09:00-17:00
Boomerang Shisha;Cкoпje;Казанџиска;
Home Brews (very good coffee!);;;
Urban;;;
Bomonti;;;
Toto;;;Mo-Sa 08:00-01:00
Shakespeare Cafe;Cкoпje;Булевар Партизански Одреди;Mo-Su 08:00-00:00
Juicy&co;;;
Saphir;;;
Majahh;;;
Kairo;;;
Stay you;;;
JJ&S;;;
Mulliri;;;
MIG;;;
Gallery 7;;;
Sultan Kejf;;;
;;;"Mo-Fr 07:30-18:00; Sa 09:00-15:00"
;;Булевар Партизански Одреди;"Mo-Th 09:00-00:00; Fr-Sa 09:00-01:00; Su 17:00-00:00"
Рузвелт;;;
Coffee Factory;Cкoпje;Ленинова;
Juice Bar;Скопје;Аминта Трети;
Љубов;Cкoпje;;
Manhattan Cafe;Cкoпje;Аминта Трети;
;Cкoпje;;
Кашмир Арт Кафе;Cкoпje;Никола Тримпаре;
Излет;Cкoпje;Мирослав Крлежа;
Cafe Barcelona;Скопје;Македонија;
;;Јани Лукровски;
Синдикат;;Орце Николов;Mo-Su 09:00-01:00
цреша бар;;Рајко Жинзифов;
Скандал;;;
Лајт кафе;;;
My Space cafe;Скопје;Народен Фронт;Mo-Su 08:00-01:00
Trend;Cкoпje;Булевар Јане Сандански;
La Cafetaria;;;
Драмски Кафе Бар;Cкoпje;Шекспирова;
