name;addr:city;addr:street;opening_hours
Лукоил;;;
Супертрејд;;;
Макпетрол;;;
Макпетрол;Cкoпje;;24.07.2020
Макпетрол;Cкoпje;;24.07.2020
Мотоцентар;;;
АП Петрол;;;
Дома;;Јани Лукровски;24.07.2020
Макпетрол;Cкoпje;Булевар Партизански Одреди;24.07.2020
Макпетрол;;;
Макпетрол;Cкoпje;Јани Лукровски;24.07.2020
Makpetrol;;Св. Кирил и Методиј;
Макпетрол;Cкoпje;;24.07.2020
Макпетрол;Cкoпje;;24.07.2020
Макпетрол Топпански;;;
Макпетрол Илинденска;Cкoпje;Булевар Илинден;24.07.2020
Окта;Cкoпje;;24.07.2020
;;Методија Андонов Ченто;
Lukoil;;;
Лукоил;;Булевар Александар Македонски;
Макпетрол Козле;Cкoпje;;24.07.2020
Макпетрол;Cкoпje;;24.07.2020
Лукoил;Cкoпje;Булевар Србија;24.07.2020
Макпетрол;Cкoпje;;24.07.2020
Лукоил;;Скупи;
Toptrade;;Скупи;
Макпетрол;;;
Детоил;;;
Макпетрол;Cкoпje;;24.07.2020
Макпетрол;Skopje;Никола Карев;
Макпетрол;Cкoпje;Ќемал Сејфула;24.07.2020
Арка Петрол;;Македонско-Косовска Бригада;
Макпетрол;;Булевар Февруарски Поход;
Макпетрол;Cкoпje;Булевар Партизански Одреди;24.07.2020
Макпетрол;Cкoпje;Булевар Партизански Одреди;24.07.2020
Okta;;Булевар 3та Македонска Бригада;
Лукоил;;Борис Трајковски;
Лукоил;;Борис Трајковски;
NAS;;;
Окта;;Булевар Србија;
Макпетрол;;Булевар Србија;
Макоил;;Булевар Србија;
Мак Оил;;Скупи;
Лукоил;;Ацо Шопов;
Okta;;Булевар 3та Македонска Бригада;
