Column1;Column2;Column3;Column4
name;addr:city;addr:street;opening_hours
Паркинг МОБ;;;
Веро Центар;;;
Паркинг за вработени;;;
Brooklyn Lounge Bar;;;"08:00-00:00; Fr-Sa 08:00-01:00"
Trend Food Bar;;;"08:00-00:00; Fr-Sa 08:00-01:00"
Комерцијална Банка;;;
Зебра;;;
Паркинг на Рамстор;;;
"Јп Градски Паркинг - Паркиралиште ""Градска Болница""";;;
Паркинг Зона Ц;;;
;;;24/7
Паркинг Зона Ц;;;
Нова Македонија;;;
Паркинг ФЕИТ;;;
Паркинг Технолошко-металуршки факултет;;;
ТЕРМИНАЛ;;;
"Платен паркинг ""Кјуби""";;;
паркинг Кочо Рацин;;;
автомакедонија;;Св. Кирил и Методиј;
Parking Vero Center;Cкoпje;;
ЈСП - Јавно Сообраќајно Претпријатие;;;
Паркинг „Разловечко востание“;;;
;;;24/7
паркинг Воена Болница;;;
Дом на Градежници;;;
Катна Гаража;;;
Пицерија Кремисимо;;;
Skopje City Mall;Cкoпje;;08:00-01:00
Автопазар;;;
;Cкoпje;;
;;;Mo-Su 07:00-23:00
Паркинг Технолошко-металуршки факултет;;;
;;;"Mo-Th 08:00-01:00; Fr-Su 08:00-02:00"
ГТЦ Паркинг;;;
Parking;Cкoпje;Миле Поп Јорданов;
Паркинг за Ветеринарна Болница;;;
;Cкoпje;Исаија Мажовски;
Тодор Александров;;;
Паркинг за посетители;;;
;;Никола Парапунов;
Паркинг Машински факултет;;;
;Cкoпje;;
Приватен паркинг Нептун Македонија;;;
Смилевски Конгрес;;;
;Cкoпje;;
;;Булевар Видое Смилевски Бато;
