Column1;Column2;Column3;Column4
name;addr:city;addr:street;opening_hours
Пелистер;Скопје;Плоштад Македонија;"Mo-Th 07:00-00:00; Fr-Sa 07:00-01:00; Su 10:30-00:00"
Интермецо;;;
Журнал;;;
Hunter’s Lodge “Kamnik”;;;
Под Кале;;;
Кај Џино;;;
Плаза де Торос;Cкoпje;Кеј 13 Ноември;
Енрико;;;
Prince;;;
Две капки;;Хелсинки;
иВ;;;
Туpиcт;;;
Топаз;;Рузвелтова;
Веки;;Варшавска;
Велково Меанче;;;
Чешма;;;
Ресторан Трпеза;;;
Ресторан Кум;;;
Рустикана;;Римска;Mo-Su 10:00-00:00
Боеми;;;
Ресторан Рагуза 919;;;
Старо Буре;;;
62;;;
Рибен ресторан Рибар (Одисеја);;;
Крчма;;;
Marana;Скопје;;
Pastel Wine & Dine;Cкoпje;Булевар Климент Охридски;"Mo-Fr 06:30-21:00; Sa 06:30-17:00; Su 06:30-16:00"
511;;;
Акорд;;;
Пицерија Либертас;;T.C Bunjakovec prv kat lok 36;
Ексклузив;;;
Тица - Елени;;;
Тренд;;;
Дестан;;;
Ана Кристи;;;
Фотка;;;
Balila;;;
Бифиња - Рамстор;;;
Бруклински;Скопје;Орце Николов;
Бела виста;Cкoпje;Кеј 13 Ноември;10:00-24:00  Fr-Sa 10:00-01:00
Два Елена;;;
Арабеска;;;
Фиш;;;
Сокаче;Cкoпje;Драган Ѓаконовски Шпато;08:00 - 00:00
Every Day;;;
Пивница АН;Cкoпje;Градиште;"Mo-Sa 09:00-24:00; Su 12:00-24:00"
Damaskino;Скопје;Македонија;
Dal Fufo - Galija;Скопје;;
Destan;Скопје;11 Октомври;08:00-23:00
Ла Тераца;Скопје;11 Октомври;08:00-24:00  Fr-Sa 08:00-01:00
Brooklyn Lounge Bar;;;"08:00-00:00; Fr-Sa 08:00-01:00"
Носталгија;;Митрополит Теодосиј Гологанов;
Кај Маршалот;;Прашка;
Барбакан;Cкoпje;Булевар 8-ми Септември;08:00-01:00
Еснаф кај даре;;;
Pizza Amica;;;
Лезет;;;
Кај Злате;;;
бед бунар;;;
бимекс;;;9:00-24:00
Пекинг Гарден;Cкoпje;Максим Горки;"Mo-Sa 11:00-24:00; Su 12:00-23:00"
